tweet_id,tweet,lang
108765481514708992,"@Underwalt @MsShandraRae @kateplusmy8 mr. walt, stop being a bully.",en
100254756332769280,"Paula, Kiersten and LJ's song about bullying. Great job! (Uploading more videos now.) http://fb.me/ASIm1gw1",en
100335301150507008,@katie_ogden @boybandslut @StephWall27 @BAMitsSHAZ @xstephhh_ I was not bullying her! She's trying to steal Jean Martyn from meee! :'( xx,en
107852102461693953,"This is actually bullying , I want Wenger to watch this and fucking hold every piece of criticism that comes ! #RAGE",en
106150056868061184,"If I'm not happy with my classes this week, I'm gonna take the role as a bully and be an asshole. Watch out lower-classmen. It will be ugly.",en
103925126613045250,@JJS1994_ stop bullying me,en
104199536133668864,"@ninjacodemonkey totally.  on one hand the retaliatory nature is pissy, on the other is great to see that bully-stick smackdown.",en
103471384973418497,"@lucy_robbo yes on thur, she said she might, we'll bully in revs. I dunno I have no friends hahaha",en
101884602586636288,"theres going to be bullys and ignorant people out there thats goi to spread lies about u or bully u,well DONT let it get u down",en
104028556509716480,@TrickyStewart Hey!(: We Are Beliebers!(: Can YouTell BIEBER To Tweet Us!(: My Friend Has Been Bullied And Needs Cheered Up!XD,en
101324602789208064,don't you get it? This is me getting rid of you. Hahaha #BULLY,en
102779484725448704,"The Bully at School Goes High Tech – Part 1: 
The Section of State and Local Government Law of the Am... http://t.co/DGWXoKd #slaw #law",en
104826899435491328,Follow-Up to ' Signs Your Child Might Be Getting Bullied' #moms #dads http://t.co/vsfXkHD #parenting #kids,en
100689407677440000,"WED at 8pm on #LETITBEKNOWNLIVERADIO our Discussion ""Violence among the YOUTH PT 2..... Bullying, Gang Violenc… (cont) http://deck.ly/~ZN88q",en
108340745324335104,Damm I think I'm slick bully this dude always offering shit to avoid me for roasting his ass LoL,en
103502694634889216,@BillyBlancO_ @DjLBully nigga used to be a real herbalist bully idk wham ah deal with,en
104295456787533824,Georgetown got there asses kicked but china.. Bull got cleaned up with a chair,en
104940761937743874,@samGarvaux  Mostly I agree with @Shoq.  Having strong opinions does not make one a bully. Just passionate.,en
103158825590329344,I entered an AMZN 175/165 bull put spread for September. I am looking for 195 to go further long calls.,en
109034091743154176,"@Looweihao @haoyangg @sleepybed Hello, since when i got bully people? Never physically you know! :( Criminal is not supposed to be me..",en
102903555840675840,@chelseabieber95 duuuuude. cyber bully much? I just read some of the tweets. how did it even start,en
100976790876602368,http://t.co/XHtRPSc @planetjedward anti-bullying campaign,en
106840582453870592,@bbuk @brianofficial bobby needs threw out that is disgusting #sweatgate #bully,en
101677159214612480,Stop Bullying Ppl Old America,en
100994011858354176,Three bully vans just went past Candace's Lewisham riots are starting again lordddddd,en
108219316192817152,"In high school, it's bullying. But in a professional setting, it's harassment.",en
108154819906240512,News from PrayerThatHeals.org - A spiritual defense against bullying http://t.co/wkmbwMA #constantcontact,en
108042149437779970,"i SWEAR I HAVE THE SWEETEST BOO IN THE WORLD, WHEN WE NOT BULLYING ME &lt;3",en
102533497637437441,For those keeping score at home- cousin who just had massive heart-attack is trying to bully the doctors into letting her out one day early.,en
107478741424414720,http://t.co/nbBZDxf Please help to stop workplace bullying,en
103942171870248960,#gymflow as my sister just showed off her push to start kia! Def gonna have to get something new soon! Or just bully hers,en
107688644067856384,"@bellathorne143 i herd that you got bullied when you was 6 years old and i feel bad,are you ok",en
101508504812138496,"@rizky_yulianisa @bobyandika I can only wish the way you guys express isn't by bullying, but I really can't be picky right now. *hugs*",en
102196835317325825,"@littlecbeadles Stop Bullying !!! I LOVE YOU SO MUCH,FOLLOW ME PLASE? #yesIcan 59",en
103679008855691264,"BETTER ANTI-BULLYING AD SLOGANS: Hey, Bullies. Since it HAS to be you our us, we'll send flowers",en
108765071395655680,"This year's bully target : the shah rukh khan wannabe, @DikFerr muahahaha http://t.co/oWwfWvy",en
106027940524998656,#SleepnSync: Make sure that your child is being bullied and not just bothered in a non-recurring way. #Bullying http://ow.ly/6ajMN,en
100124868628066304,@LordFIMM @bentleysbird @candida6 I unfollowed AvonSpurs a few days ago as believe he's  a cyber bully & a complete cock. I stand by it.,en
108549768187351041,"i think teuk went to hit someone because someone was bullying donghae? then when they went back, manager-hyun… (cont) http://t.co/9OtXplM",en
108958421558112256,I liked a @YouTube video http://t.co/JSrbRSp Bully Cat Stuffs Cat In Box,en
108391635246776322,@lifeofagreat1 gamestop bully,en
105740633897050112,"De Gea needs to eat some pies, gonna get bullied on crosses and corners",en
105988452310462464,Join Elise in one hour at her new time.  Todays topic #Cyberbullying vs #Bullying for kids on the spectrum #Autism #ASD  #tck,en
104240118818291712,"@ryanbyrd @arkychicky maybe ""bullying"" is a better word than ""internet rape""?",en
108493220312383488,@kieran_yates I know - so cute. Love the way he spinelessly dives in to being a bully to win the girl!,en
106800732031815680,America;the bully.,en
103053755540447232,"My 6 yo son is being bullied. It's really hard to know what to do. I'm shocked that it happens this early, this young. #canofbullies",en
100279498263638016,@Waterfalls_Mh bully,en
108966853661032448,I favorited a @YouTube video http://t.co/gwAHqri Bully Cat Stuffs Cat In Box,en
101490713405038592,@randvalentine seriously lol how ppl tryna bully there ?? Takin lunch money or what,en
106030123865739265,[EN] Conservative MP’s Family Falls Victim to Online Bullying: http://t.co/emqbRt0,en
105992776746942464,http://t.co/XzO00sm Stand Up Day (stand up to bullying November 14),en
100328582508855296,"#DeadpoolSays bullying is wrong, wait, scratch that... Bullying Is FUN!",en
101440356591210496,@TomTheScottish They have too many weak/small players. If they sign a big bully of a striker Drogba/Carroll style then they have a chance.,en
102433486769627136,@thatcountenance @Lweiting she bully me :(,en
101776234794590208,rebecca black has been bullied out of school but that's what you get when you make crap songs,en
108149010929434624,cesser l'intimidation - stop bullying.,en
103429674721476608,Children with severe #foodallergy bullied - story in the Mail - http://t.co/q3kijVj,en
108160516131799040,@Mkaygreene is a bully,en
105946088254619648,@Rannnny_x bully!,en
104181309462683649,@jessiejofficial Whos Laughing Now Is A Great Song The Words Describe Me I Always Get Bullied @ Skool Just Like u Was Follow And Tweet Me? 1,en
104310338081660928,""" Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life; define yourself.""",en
107987147990106112,Kids' bullying is an ADULT problem.  Learn more about the role adults play in Bullying Epidemic: Not Just Child's Play. Coming Sept 2011.,en
108658709189754881,"Also, wishing Nick would die from diabetes? THAT'S LOW. And then you claim to be against bullying.. Yeah right!",en
100075342470979584,"Photoset: › “…he’s sensitive, people bully him, too, and he feels lonely and hasn’t got anybody to talk to,... http://tumblr.com/xxv3y1zfg7",en
107488254307205120,A common -MYTH- about #Bullying in schools-  ' It's just kids being kids' #education #moms #parents #dads,en
104719599265783809,"In the saga of the bullies: no, I won't allow your kid to bully mine in the grocery store while you watch. #mamabear",en
102513594234699776,"@vivjones10 haha! They're actually pictures from an anti-bullying campaign, blessem",en
103004836852801536,[CL7] Who bully jjongie?!!! *angry* http://t.co/tZTFCbX,en
100348064140754944,Documentary about bullying of gays showing at Newbury Park community forum Aug 19th http://bit.ly/qODBSo,en
103257266811187200,"Then I thought he bullied me because he loved me, but he prooved I was wrong , one more time.",en
102456954470932481,@NadiraGandhi rip wat r u threatenin me on tha web u bully,en
104757138236256256,"U all should whatch this video about bullying, and help take apart in ending it http://t.co/XVsagvI @bellathorne143",en
104763342576562176,"@YungPaidBlessed , He Used To Bully Yall In The Bathroom , Ll",en
106238594515079169,Lls im out she aint rockin thats wat im talkin bout bully,en
107177093162483713,"when I see someone being bullied I stick up for them anyway, let alone ast, I would literally beat the shit outta that mother fucker.",en
103298006077538305,@tearsellingboy im sorry will u stop bullying me now im having a heart attack!,en
105689722332004352,@LysaTerKeurst Whoa! this is the deepest truth of all - DON'T BE YOUR OWN BULLY! Truth will silence toxic thoughts & words!,en
102067466276044800,"One day, our OCs get bullied at school. What's their reaction? @sasunarukawaii @uchimouchi @Algarich @HarunoMizuhime @michiryan",en
105124970711105539,"@DemiSelenaArmy @TheDLNation @mrDdlovato I was never really bullied by other kids, but I had to deal with simi… (cont) http://t.co/ump5IpO",en
107759010534531072,"@vickafarahdiba Tul bgt,mb..Say NO to Bullying",en
107762666738683904,"@pete_zar that wasn't bullies that was a random attack :L and lol, you, bully me? don't even pretend you do :L",en
101301835607977985,She scratches and claws me when clearly there's a guy next to her that's easy to bully -__-,en
107083900584603648,@KabThaDon bro i listen to numbers every morning real bully issh,en
101335166525513728,i wish the whole bulling-everything-that-breathes fad would go out tho #realtalk,en
102549173668294656,@PaytonRaeMusic i love your stomp out bullying video! very inspirational(: i think i will enter...♥ http://t.co/C6NqqwC),en
103651943448186880,played Bully: Scholarship Edition (360) in the last 24 hours. http://t.co/idp64dt,en
103111053377929216,@ChronIcVamPz I actually got bullied myself as well and tbh I don't really wanna talk about it &gt;.&lt;,en
103969264553299969,This sat Club Gravity! 'Bedroom Bully' Music by Hot 97 & Power 105.1 Everyone free before 12  http://t.co/vw1RueY ;..,en
108417769673981952,"What is this I hear about cyber-bullying. #GrammarNAZIs, tell your leader Alphabet Hitler that his days of #evildoing are numbered!!!",en
108125147986276352,"@HilzFuld i disagree again- naked women is not a form of protest against bullying, its cheap.",en
108636558881599489,"The 64 was the school bully with its crude graceless blocky graphics, the Speccy the beautiful underdog with its charming colour clash.",en
108494744417611776,The Article Bully Domination System – Grab Your Copy TODAY! http://t.co/AbvR1OE,en
101005489915166722,@Richdolarz keep comin at @AYEVERB  so he can get some views i hate a nigga dat try to get on dat bully shit to make they self look good,en
103881668535914497,@JeffersonObama The Bully on the Pulpit.  #ChrisChristiePresidentialTourBusName #p2,en
101008486179160064,@dannysuarez20 awwww bully... don't let that bring you down!:/,en
102630777363234816,@AHankeyPankey name calling isnt nice and it's bullying too #stupid lol,en
106778495681708032,"@nolan_aurelia he's a dick to the bully lmaoo that's great, there's on when the dude gets ko'd",en
108404942355697664,Just Saw A Video On YouTube About A Little Boy Bullying A Big Ass Boy . Personally I Think EveryBody Story Is BS . I Wanna No What Happened,en
104335487988269056,#WorstThingInTheWorld bullying.,en
102219441806376961,I strongly dislike people who think they can bully people just because they are different.,en
107212700664348673,"Cyber bullying and sexting a growing trend among teens: Students across the county are back in school this week,... http://t.co/L5u4q6W",en
101379514747199488,'Friday' Singer Rebecca Black to Be Homeschooled After Verbal Bullying - FoxNews.com: http://goo.gl/k0QGS #rebeccablack #homeschool,en
101490272122314752,@Tyler_Tyty *bullied,en
101499780613685249,@Tori_1098 @vincastronovo @dapitbull63 @austinmahone lmfao ur crying bc u died. SO SELFISH!!! lol jk jk ;P,en
104159044255748096,SF Schools Expand Bullying Prevention Program - KDLT News http://t.co/9A1q9qt,en
105434008657211392,Brodie’s law to be used to cut out school bullying – Sydney Morning Herald: Students or parents involved in cybe... http://t.co/sVTK3gy,en
107308026230358016,@all_lightskin24 follow bck bully,en
108332493530333184,Fresno Bully Rescue. CA. Be sure to check out our website to see all the latest adoptable dogs at our shelter... http://t.co/35uSGwB,en
102584410221711361,i usually can stand jim gray but today i was rooting for him to bully that inept ref #boxing @AntonioTarver,en
101010060557299712,@CassJoann Hahahah xD Me haces bullying,en
108163965749698560,Quelling a bully screed... Educating voters... Helping shed some blue light in a red state... Best Sunday in a long time.,en
108950295761002496,"""Never be bullied into silence. Never allow yourself to be made a victim. Accept no one’s definition of..."" http://t.co/HFVW8Mv",en
102152636203151360,"@DNas shyt iono.. i got hella shyt.. esp rockstar.. off the top of my head, the gta's..bully..re4..PrinceOfPersias..TwistedMetalBlack..etc",en
102443901415206913,"@macstein no jor, I bully Ў☺ΰ in a subtle way, leave d details to me",en
104997458282676224,I just kick over a homeless dude house......  I'm such a bully #thugLife,en
108213945730482176,@catherinebray STOP BULLYING YOUR MUM ABOUT HER GUMS,en
106085303063810048,"Bullying Victims See Lower GPAs, Particularly High Achieving Blacks and Latinos, Study Shows http://t.co/WEa5ieQ",en
103326291289325568,@vdashbrown No bully,en
108638723868069889,That wass my babee / BULLY ! ( :,en
108222328235761664,I'm being bullied by @2amv (-_-) ...,en
104343923446648833,@mtvnews Do you have any advice for a girl who gets bullied a lot at school??? How do you stay so confident?? #MTVGaga,en
108036659697811456,@Imkidrauhl_ Haters gonna hate because they are jealous! I get bullied & I know how it feels but please put a smile on your face?:) &lt;3,en
102200003287715841,"Being bullied into admitting someone's cute, never thought that would happen :|",en
104619665032085504,"i want to be a cyber-bully, which of you losers is going to tell me how to go about it, please.",en
103400962357600257,"Tehachapi Unified School District makes major policy changes. #SethWalsh #bullying #education
http://ow.ly/64c2O",en
102536158550036480,BULLYING is NOT ok. I really want everyone to get a long. This is such a big problem all around the world! #StopBullying,en
104741285600047104,#FF THIS PERSON WAS BULLIED BY JESSICA AND THOSE WHO DON'T LIKE OR TALK TO JESSICA SHOULD FOLLOW THIS TWITTER OK. - @jessicahate,en
101654583021023233,"Yeah, that should put an end to the bullying - I know it’s Thursday, Thursday, but I gotta post this on... http://tumblr.com/xbr4164lxe",en
109022869564043264,#ThingsWeNeedToChange Bullying between teenagers! Definitely is what I think we need to change,en
103097898278993920,@J2ocean all you do is bully me :(,en
102544753048035329,"@Rissuh123 awe! hahah how cute. i hate the mostttt when kids bully him, i seriously want to strangle them all. -___-",en
108828051491651584,"Victim response may be key to curb bullying, study says http://t.co/xp2HSme",en
106132504364322816,@HuffingtonPost being black and being bullied in America is nothing new to the majority of black people #dontfetit,en
103510524691623938,"This little boy bulling his baby brother ,",en
108658106896097281,"So today in my teen leadership class, this girl started crying cuz she's getting bullied. She almost took her life. Words hurt #stopbullying",en
103512154174529536,"@JKility Yeaah I am! and im younger than you, you're being bullied by someone younger, thats even funnier. &gt;:D ahaha",en
105797253746278400,@biancagabardo bullying detected,en
108361100478775296,My friends are some bullies btw lolx they get a kick out of bullying smh #randomthought,en
104019461287329792,Bully!,en
106039023943942144,"Bullying is my ability. But, gotta hide that from my new school",en
100676606984597504,@TedCollins83 No...just bully pits. From what I remember the Johnson Line are good Am Bulldog. If u just want a pet id try a rescue.,en
101353399970308096,@owillis @rootless_e don't know their plan so weak leaders they r like follwers on school payground they go after the kid the bully go after,en
105241669963747328,@scatch21 @briannufc haha scatch #JustSayin #bullied #nufc #football,en
106345256156545024,"America loves the underdog as an archetype, but is itself far removed from the actuality of being the underdog. We are the bully.",en
102360756888158208,"Dear hair, now ur just being a bully! #leavemyfacealone!",en
108543994992132096,Sure this bus is the early teen bully bus :@,en
105128683186036736,Christian Bully?: A local St. Mary's County woman recently confronted a grieving father about an unsubstantiate... http://t.co/7sYw98q,en
100652042359545856,#bieberfact Justin has been a victim of cyber bullying!!!! :(,en
101479204327141376,"Lmao XD ""@Cycokid22: Lol Rebecca Black got homeschooled for being bullied alot.""",en
107921928823644160,#Np Bully - Three Days Grace ♥,en
107239976374239233,Sometimes you just got to punch a Bully in the mouth.,en
109033043775336448,"@TakeAStand2Day 
No problem and thank you for what your doing about bullies and I will take a stand against bullying. (Thang again).!!!!!!!!",en
100704750764437504,How To Stop Bullying - Information You Need: Bullying no longer happens just on the school playground. The probl... http://bit.ly/oEuF3G,en
108193670062276608,«@keystonepol Philadelphia's Anti-Bullying Programs a Model for Nation http://t.co/XQU0KIs #papolitics»,en
105214400251691008,"Seriously, does anyone who's worked not have a story about workplace #bullying from some time in their career? Just curious.",en
105283603965026305,@djlogansama u lot should be bullying that league man.,en
108749234643279872,Mad that someone I'm not fond of is in one of my classes. #Bully,en
108225276500131840,"@YNWA_16 @alexrpayne im not talking to you anymore, you just bully me :P",en
100986172855156736,I liked a @YouTube video http://youtu.be/XNexgyfuTnc?a Taeyeon and Sungmin bullying Sooyoung's Minnie Mouse (hyper muc,en
106911657896325120,#bb13 WOOHOO I'm so glad Jeff got evicted. He thinks he can say & do what he wants to people. He's such a bully. Aww Dani ur girls came thru,en
104788425256878080,"[Fan]: My friend keep bullying me huhu[Jonghyun]: Who is that, bring him/her over~! #JjongUFOReplies",en
103737840218816513,"Bully of the playground, I will not let you slide BITCH !",en
101535408420167680,@x_aye_itsTAY ur seven feet tall when u stand on top off TWO chairs lol and yes i remember u gettin bullied like the lil person u are! haha,en
103291876412637184,"the WWE having an anti-bullying campaign will never, ever make a single ounce of sense.",en
108482786960224256,I favorited a @YouTube video http://t.co/30nSkfD Pink - Perfect (AHMIR cover) - Anti-Bullying video,en
106788176563150848,"Damn, Kurt Cobain got bullied because people thought he was gay cause he hung with a gay kid. Fucked up.",en
104993979937988608,@Dnl2Silva bullying u.u KKKK acho justo,en
107777398455537665,@Shiying_  only know how to torture & bully me,en
103508658742235137,"@LeadingWomen tears at work come from bully bosses. Change the boss or change your job. Cry for our country, then go do something about it!",en
100702965114998784,TAMPA: JUL 8: NOW BOOKING: @ScrapBoyz Anti-bully Awareness Tour f. @DJUnk_ItsAgo http://conta.cc/jyUz5a: 404-532-9232,en
103161128187731968,@bellathorne143 I love how much confidence you have. I don't have any because i feel like such a loser when ever i get bullied in school.,en
106705609105227776,Trade of the Day: Gold Miners $GDX Bullish Spread http://t.co/GGMR9TA $$ $options,en
101734861127159808,"“@Fino76 @MrsStev0 @guinners1 ha! Paul did start the bullying with the smart comment from the original tweet ha! 
#saynotocyberbullying ha!",en
100441996338020352,@YoHoeLikesMeTho lol you're a bully,en
107105617331748864,"@L_L_Q_98 hhaha yes, anyone bully you call me hor.",en
101024982536163329,So The White Gurls Bully The Black Gurls On #BGC? O_o,en
108288834495709184,Online bullying: back to school means back to reality - Sync (blog) http://t.co/qiPHXrQ #family,en
102807612344635395,@Dr_coxy bullied,en
102407450606575616,I beat that pussy up&it don't fight back im a bully.lol @PlainJanee101,en
107313172238708736,@HeKissNonMYtatZ lmao..dats how my lil hoe is ...she terrible doe..n she a bully lol,en
108305185968898048,Ridgewood school district adjusting to new anti-bullying policy: New Jersey's Anti-Bullying Bill of Rights Act will... http://t.co/IPcClLx,en
104682323122982913,"@AudreeJo this issue is mostly that James Potter is a bully, even in the Petunia/Vernon backstory he is very unlikeable",en
100699391140167680,Lol the bully @100MeatHer_Dash is at it again! And she's really good you have to just listen,en
105494759929421824,Cyber bullying is not the way!!,en
108190572774301696,@ENNNNNNQI LOL! bully siol!,en
106472932410277888,Reblog if you are against bullying - › this must have more notes http://t.co/CCAmcop,en
108598306434859009,my cousin called me a bully :( http://t.co/QteOE9W,en
105552754600194048,Kids across Green Country are headed back to school wearing yellow for Lets take a stand against bullying :). Do... http://t.co/JzApYDE,en
100639892966617088,"Be a friend to the person who is being bullied: talk with them, sit with them at lunch, play with them at recess. #stopbullying",en
103481163393400833,"@SuperElmo Meet ENZO, the bullied guy, and girls' best friend, until he met the sexy teacher. :))",en
104566854982443008,"I've bought one of those anti-bullying wristbands. Well, when I say 'bought', I snatched it off some short fat ginger kid...",en
102647480503644160,i have a bully but she will remain nameless until she takes my lunch money again,en
101661874495561728,"#NEWMUSIC Ca$h Feat. DanMan Tha Bully - ""Throw It Up"" - http://twitrax.com/s/omehf4",en
102949243916009472,@JosephJ89 bully - pouts-,en
102957056163708928,Secret's Anti-Bullying Campaign Appears to Get Facebook Fans Engaged: Procter & Gamble Co.'s Secret deodorant ap... http://bit.ly/nv26a2,en
100620966287245313,Australia Spends Two Months Deciding Whether Red M&M Is a Bully http://bit.ly/nCtrgd #Advertising,en
100194373064601600,@GraceNgDreamer I want sister lor!! Kor not good de bully me one!,en
108727740689170432,Bullying hurts! Rt if u want it to stop!,en
107224608557641728,"@IphannieBGentle lmaooooo, girl no I'm no bully.",en
101875398668857345,Trust me bella people will stop bullying in general if we can get more people to take a stans against it im with you @bellathorne143 :),en
108870460149727232,"@VillaRunner But don't follow this guy. He's a bully. With a scary, 'i don't give a fuck' pic. Avoid at all costs.",en
102014053332959232,"Read my response to ""Pass This On If You Are Anti-Bullying. #NOH8 ♥"": http://4ms.me/oft1SW",en
107476429985431552,@chance_second @Joe_Hunter I'm pretty sure Batman bullied Ray Palmer into shrinking the t.rex and penny so he could put them inside his crib,en
104128646020730880,@iAdoreParkerTW @jizstik_nath_tw pfftt im getting bullied on birthday ;) lol cx,en
102409107490881536,"We should take the ""Stop The Bullying"" & change it to ""Quit Being A Dick."" #fb",en
103272360920092672,HELP OTHERS AND STOP BULLYING! - @bellathorne143,en
100299171533307904,"@sredrow2 you're a bully! Guess I should pass along the ""get well soon"" bear http://yfrog.com/h3meaudj",en
101442015962726400,"Awesome post by Peter Switzer about Biz Confidence: Staff bullying, carers leave, wage rises, interest rate rises: http://bit.ly/qLg9br",en
107128416230326272,@JlNCHAN He's always bullied because of that though. And you'll see that Dongwoo has a weird like for toys lmao,en
101361461439381504,"Read my response to ""Pass this on to ask your followers if you believe bullying is wrong. If not, then I feel sorr…"": http://4ms.me/mScY6L",en
108704754355544064,@SusanSaundersJZ @klout must be Cyber Bully!  Just like Jill Zarin,en
102999732833615872,Just gave a shit about bullying. Give a Shit at http://t.co/Wchx9kt #giveashit,en
101500859426418688,"@VinCastronovo Vinny can I get a GRANDnight please and will u follow me :) STARVE A BULLY, FEED YOUR SOUL, and STAND GRAND :D",en
104075767012536320,#oomf is a bully,en
108942502467346432,"@chellsSOgutta haha, what? You got a bullying?",en
101892276149690368,Top 5 Expert Tips to End Teen Bullying from Dr. Janell Dietz ~ What to Do if Your Kid is a Vi... http://t.co/oumg1p0 via @MommyLTLORiley,en
104079572361949184,"""@IronManMANNY125: I have anger issues that have yet to be resolved""&lt;==Lmaoo u ventin n shit...fuckin bully lml",en
106432747123384320,@mellymel1155 lol you say picked on like their teasing abd bullying you... but I understand what you mean.,en
106491615908085760,Jayden Is A Bully.,en
103453815772168193,my gran just bullied me!,en
102361955922227200,ISPCC's anti-bullying campaign - http://t.co/JF5YzgR,en
101467014152982529,Someone needa get this @myquotes_swag bitch talking about my dead family members. Ill sho her ass cyber bullying!,en
107963829350187009,@CamilleCarelli darling I've been bullied my whole life so watch ur tongue! That was leading a team to success with a little tough love! xx,en
100314778156806144,Big bully http://yfrog.com/h4cspzisj,en
106857257089765376,@LikeAChamp_Ben not if you're gunna bully me~,en
104356816460328961,@akalionrule so what is the answer? let people be bullied out of their own country by the self professed chosen ones (jews),en
104785436215476224,@_ChocolateKisse  Dam Devo get off her . Seesh yu dam bully,en
108146843740934144,@thatsdawg @greenappletea_ @deeun_ fanny also got bullied by Duyen carolyn and Ngoc today... What a day huh fanny?,en
108112180896989186,"""Courage is fire, and bullying is smoke"". Benjamin Disraeli knew his stuff.",en
101484211688579072,"@gkketch No, we are talking about getting bullied by a bunch of arrogant assholes, and FINALLY getting fed up.",en
105774374522601472,Hate and bullying has to stop!  @wcfcourier Waterloo teen dies from beating injuries http://t.co/tb9uWCF #noh8,en
